State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Andhra Pradesh,Adilabad,18.55,0,26.54,23.99,26.54,19.23,26.54,26.54,26.54,26.54,29.88,29.88,29.88,18.57,36.64,0,144.75
Andhra Pradesh,Anantpur,21.11,0,31.47,28.42,31.47,23.4,31.47,31.47,31.47,31.47,35.8,35.8,35.8,14.96,43.91,36.92,202.44
Andhra Pradesh,Chitoor,19.84,0,29,26.2,29,20.85,29,29,29,29,32.85,32.85,32.85,32.85,40.29,26.91,197.66
Andhra Pradesh,Cuddapah,18.53,0,26.5,23.95,26.5,20,26.5,26.5,26.5,26.5,29.83,29.83,29.83,27.79,36.58,29.25,183.82
Andhra Pradesh,Karimanagar,18.25,0,25.92,23.42,25.92,18.91,25.92,25.92,25.92,25.92,29.14,28.63,29.14,29.14,35.75,26.48,178.42
Andhra Pradesh,Khammam,18.67,0,26.76,24.18,26.76,19.97,26.76,26.76,26.76,26.76,30.15,16.65,30.15,35.73,36.98,31.41,181.46
Andhra Pradesh,Mahboobnagar,20.64,0,30.56,27.6,30.56,22.57,30.56,30.56,30.56,30.56,34.71,34.71,34.71,34.71,42.57,17.14,197.85
Andhra Pradesh,Medak,16.55,0,22.63,20.47,22.63,17.03,22.63,22.63,22.63,22.63,25.19,25.19,25.19,18.36,30.89,27.31,153.62
Andhra Pradesh,Nalgonda,18.83,0,27.05,24.45,27.05,19.42,27.05,27.05,27.05,27.05,30.5,30.5,30.5,30.5,37.41,24.96,183.93
Andhra Pradesh,Nizamabad,15.55,0,20.7,18.73,20.7,15.65,20.7,20.7,20.7,20.76,22.86,22.8,22.86,18.44,28.04,24.49,141.57
Andhra Pradesh,Rangareddy,16.85,0,23.19,20.97,23.19,17.47,23.19,23.19,23.19,23.19,25.86,25.13,25.86,20.26,31.71,27.41,157.62
Andhra Pradesh,Vizianagaram,14.62,0,18.9,17.11,18.9,16.06,18.9,18.9,18.9,18.9,20.7,20.7,20.7,20.7,25.39,21.18,133.55
Andhra Pradesh,Warrangal,18.32,0,26.06,23.69,26.06,19.82,26.06,26.06,26.06,26.06,29.3,27.85,29.3,22.74,35.94,32.16,178.38
Andhra Pradesh,Total (Development Grant),236.31,0,335.28,303.18,335.28,250.38,335.28,335.28,335.28,335.34,376.77,360.52,376.77,324.75,462.1,325.62,2235.07
Andhra Pradesh,Capacity Building ,13,13,13,13,13,0,13,22.11,13,13,13,6.07,13,3,13,0,70.18
Andhra Pradesh,Grand Total (DG +CB),249.31,13,348.28,316.18,348.28,250.38,348.28,357.39,348.28,348.34,389.77,366.59,389.77,327.75,475.1,325.62,2305.25
Arunachal Pradesh,Upper Subansari,12.3,0,14.47,0.1,14.47,11.07,14.47,11.77,14.47,12.7,15.38,10.7,15.38,13.09,18.86,0,59.43
Arunachal Pradesh,Total (Development Grant),12.3,0,14.47,0.1,14.47,11.07,14.47,11.77,14.47,12.7,15.38,10.7,15.38,13.09,18.86,0,59.43
Arunachal Pradesh,Capacity Building ,1,0.5,1,0,1,0,1,2.9,1,0,1,0,1,0.79,1,0,4.19
Arunachal Pradesh,Grand Total (DG +CB),13.3,0.5,15.47,0.1,15.47,11.07,15.47,14.67,15.47,12.7,16.38,10.7,16.38,13.88,19.86,0,63.62
Assam,Baksa,0,0,0,0,0,0,0,0,0,0,0,0,14.56,13.1,17.87,14.82,27.92
Assam,Barpeta,13.06,0,15.9,7.6,15.9,5.56,15.9,12.22,15.9,9.77,17.09,4.56,16.58,8.05,20.33,17.62,65.38
Assam,Bongaigaon,11.68,0,13.23,12,13.23,0,13.23,8.6,13.23,13.23,13.88,0,13.06,6.78,16.01,0,40.61
Assam,Cachar,13.01,0,15.81,10.1,15.81,3.01,15.81,9.75,15.81,14.23,16.98,1.86,16.98,15.28,20.82,0,54.23
Assam,Chirang,0,0,0,0,0,0,0,0,0,0,0,0,12.91,11.62,15.85,13.26,24.88
Assam,Dhemaji,11.8,0,13.48,0.1,13.48,10.62,13.48,0,13.48,13.48,14.19,9.5,14.19,10.39,17.4,0,44.09
Assam,Goalpara,11.67,0,13.21,0.1,13.21,0,13.21,0,13.21,11.89,13.86,8.5,13.86,0,16.99,10,30.49
