Station,Station Name,Station - ST_CEN_CD,Station - DT_CEN_CD,Station - censuscode,Station - RegionId,Scale,Units,2007,2008,2009,2010,2011,2012,2013
IN-AP-AD,Adilabad,28,1,532,IN-AP-AD,units,μg/m3,34.49175847,38.09240082,33.77556705,32.03288985,33.40406406,33.86839409,37.64241226
IN-AP-AN,Anantapur,28,22,553,IN-AP-AN,units,μg/m3,26.08935395,27.28206279,26.07322914,23.29637273,25.58897935,25.29411429,28.93650507
IN-AP-CH,Chittoor,28,23,554,IN-AP-CH,units,μg/m3,26.13560286,26.60907455,25.04478624,23.80690817,25.30185783,23.42862779,28.40207282
IN-AP-KA,Karimnagar,28,3,534,IN-AP-KA,units,μg/m3,32.22049164,35.78093519,31.43331871,29.75897713,30.8652484,30.84554189,34.25850203
IN-AP-KH,Khammam,28,10,541,IN-AP-KH,units,μg/m3,29.13845565,32.28408065,30.35377366,27.49589456,28.70951025,28.16956765,32.70283096
IN-AP-MA,Mahbubnagar,28,7,538,IN-AP-MA,units,μg/m3,29.02106457,30.80212099,30.1693218,26.97301762,28.81366614,28.03326612,31.5879292
IN-AP-YS,Y.s.r.,28,20,551,IN-AP-YS,units,μg/m3,26.79787502,27.64974235,27.68320861,25.22425524,26.56511123,24.66356048,29.09202026
IN-AP-WA,Warangal,28,9,540,IN-AP-WA,units,μg/m3,29.87991958,32.97731602,30.10010608,28.08014181,29.39388654,28.31277617,32.37133865
IN-AP-ME,Medak,28,4,535,IN-AP-ME,units,μg/m3,30.61444461,34.34899657,31.07455401,28.34213948,30.80703086,30.25146309,33.15476978
IN-AP-NA,Nalgonda,28,8,539,IN-AP-NA,units,μg/m3,28.99958224,32.08931113,30.4547548,27.96449143,28.68719165,28.15399679,31.52507648
IN-AP-NI,Nizamabad,28,2,533,IN-AP-NI,units,μg/m3,32.74686563,36.1920323,32.57142941,29.99643399,31.88128778,32.66815346,35.82265671
IN-AP-RA,Rangareddy,28,6,537,IN-AP-RA,units,μg/m3,29.52755113,32.70172053,30.42676579,27.47055201,29.69258105,29.26021044,32.22953927
